molecule_chembl_id,canonical_smiles,bioactivity_classification,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL431611,Oc1ccc2c(c1)S[C@H](C1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,439.6210000000003,6.041500000000006,1.0,5.0,8.602059991327963
CHEMBL316132,Oc1ccc2c(c1)S[C@H](C1CCCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,467.67500000000035,6.821700000000007,1.0,5.0,8.1249387366083
CHEMBL304552,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,active,463.5990000000004,5.929600000000006,2.0,6.0,8.508638306165727
CHEMBL85881,Oc1ccc2c(c1)S[C@H](CC1CCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,467.67500000000035,6.821700000000007,1.0,5.0,8.4089353929735
CHEMBL85536,Oc1ccc2c(c1)S[C@H](Cc1ccccc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,461.6270000000004,6.0940000000000065,1.0,5.0,8.130768280269024
CHEMBL83451,Oc1ccc2c(c1)S[C@H](c1ccncc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,448.5880000000004,5.619000000000006,1.0,6.0,6.309803919971486
CHEMBL267385,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccc(OCCN4CCCCC4)cc2C3)cc1,active,453.5820000000004,5.553300000000006,2.0,4.0,9.0
CHEMBL315761,Oc1ccc2c(c1)S[C@H](c1ccco1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,437.5610000000004,5.817000000000006,1.0,6.0,7.455931955649724
CHEMBL281499,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)cc1,active,326.39500000000004,4.688600000000004,2.0,2.0,8.366531544420413
CHEMBL25228,O=C1c2ccccc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,active,354.36100000000005,3.969000000000001,2.0,4.0,7.040958607678906
CHEMBL432454,O=C1c2ccc(OCCN3CCCCC3)cc2C(=O)C12C(c1ccc(O)cc1)=Cc1cc(O)ccc12,active,481.5480000000002,4.8337000000000065,2.0,6.0,6.764471553092451
CHEMBL24950,Oc1cccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)c1,active,326.39500000000004,4.6886000000000045,2.0,2.0,7.455931955649724
CHEMBL419110,CC(C)(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,active,427.61000000000035,5.897400000000006,1.0,5.0,7.958607314841775
CHEMBL85090,Oc1ccc2c(c1)S[C@H](C1CCCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,453.6480000000003,6.431600000000007,1.0,5.0,8.585026652029182
CHEMBL83060,Oc1ccc2c(c1)S[C@H](c1cccnc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,448.5880000000004,5.619000000000006,1.0,6.0,6.266000713461613
CHEMBL85650,CC(C)C[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,active,427.61000000000035,5.897400000000006,1.0,5.0,8.522878745280337
CHEMBL313941,Oc1ccc(C[C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,active,477.62600000000043,5.799600000000006,2.0,6.0,8.568636235841012
CHEMBL313825,CC(C)[C@H]1Sc2cc(O)ccc2O[C@H]1c1ccc(OCCN2CCCCC2)cc1,active,413.58300000000037,5.507300000000005,1.0,5.0,8.154901959985743
CHEMBL25580,O=C1c2ccccc2C(=O)C12C(c1cccc(O)c1)=Cc1cc(O)ccc12,active,354.36100000000005,3.969000000000002,2.0,4.0,6.436518914605589
CHEMBL83623,Oc1ccc2c(c1)S[C@H](c1cccs1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,453.6290000000004,6.285500000000006,1.0,6.0,8.05551732784983
CHEMBL315271,Oc1ccc2c(c1)S[C@H](CC1CCCC1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,active,453.6480000000003,6.431600000000007,1.0,5.0,8.522878745280337
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,active,473.5940000000001,6.075200000000007,2.0,6.0,8.744727494896694
CHEMBL122237,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(COCCN3CCCCC3)cc2)cc1,active,477.62600000000043,6.067400000000006,2.0,6.0,8.638272163982407
CHEMBL334096,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(C3=CCNCC3)cc2)cc1,active,417.5300000000002,5.441600000000005,3.0,5.0,8.853871964321762
CHEMBL121978,CN1CCN(c2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1,active,434.56100000000015,4.816700000000004,2.0,6.0,9.0
CHEMBL122208,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2CCCN2CCCCC2)cc1,active,385.5290000000003,4.958300000000005,2.0,5.0,9.154901959985743
CHEMBL124474,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(CCCN3CCCCC3)cc2)cc1,active,461.6270000000004,6.483400000000006,2.0,5.0,8.853871964321762
CHEMBL121879,CN1CCCN(c2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1,active,448.5880000000002,5.206800000000006,2.0,6.0,8.443697499232712
CHEMBL125119,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(C3CCNCC3)cc2)cc1,active,419.5460000000002,5.531900000000005,3.0,5.0,8.769551078621726
CHEMBL121720,CCN1CCN(c2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1,active,448.5880000000002,5.206800000000006,2.0,6.0,9.0
CHEMBL332625,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(N3CCNCC3)cc2)cc1,active,420.5340000000002,4.474500000000004,3.0,6.0,8.356547323513812
CHEMBL304552,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,active,463.5990000000004,5.929600000000006,2.0,6.0,9.096910013008056
CHEMBL340111,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(CN3CCCCC3)cc2)cc1,active,433.5730000000003,6.050800000000005,2.0,5.0,6.809668301829708
CHEMBL340606,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(N3CCCNCC3)cc2)cc1,active,434.56100000000026,4.864600000000005,3.0,6.0,8.443697499232712
